SL No,Name,Launch Date,Launch Vehicle,Orbit Type,Application,Remarks
1,Aryabhata,1975-04-19,C-1 Intercosmos,No Data,Experimental,Launch successful
2,Bhaskara-I,1979-06-07,C-1Intercosmos,LEO (Low Earth Orbit),Earth Observation,Launch successful
2,Bhaskara-I,1979-06-07,C-1Intercosmos,LEO (Low Earth Orbit),Experimental,Launch successful
3,Rohini Technology Payload (RTP),1979-08-10,SLV-3E1,No Data,No Data,Launch unsuccessful
4,Rohini Satellite RS-1,1980-07-18,SLV-3E2,No Data,No Data,Launch successful
5,Rohini Satellite RS-D1,1981-05-31,SLV-3D1,LEO (Low Earth Orbit),Earth Observation,Launch successful
6,APPLE,1981-06-19,Ariane -1(V-3),GSO (Geosynchronous Orbit),Communication,Launch successful
6,APPLE,1981-06-19,Ariane -1(V-3),GSO (Geosynchronous Orbit),Experimental,Launch successful
7,Bhaskara-II,1981-11-20,C-1 Intercosmos,LEO (Low Earth Orbit),Earth Observation,Launch successful
7,Bhaskara-II,1981-11-20,C-1 Intercosmos,LEO (Low Earth Orbit),Experimental,Launch successful
8,INSAT-1A,1982-04-10,Delta,GSO (Geosynchronous Orbit),Communication,Failed in Orbit
9,Rohini Satellite RS-D2,1983-04-17,SLV-3,LEO (Low Earth Orbit),Earth Observation,Launch successful
10,INSAT-1B,1983-08-30,Shuttle [PAM-D],GSO (Geosynchronous Orbit),Communication,Launch successful
11,SROSS-1,1987-03-24,ASLV-D1,No Data,Experimental,Launch unsuccessful
12,IRS-1A,1988-03-17,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
13,SROSS-2,1988-07-13,ASLV-D2,No Data,Earth Observation,Launch unsuccessful
13,SROSS-2,1988-07-13,ASLV-D2,No Data,Experimental,Launch unsuccessful
14,INSAT-1C,1988-07-22,Ariane-3,GSO (Geosynchronous Orbit),Communication,Partial Failure in Orbit
15,INSAT-1D,1990-06-12,Delta 4925,GSO (Geosynchronous Orbit),Communication,Launch successful
16,IRS-1B,1991-08-29,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
17,SROSS-C,1992-05-20,ASLV-D3,No Data,Experimental,Launch successful
18,INSAT-2A,1992-07-10,Ariane-44L H10,GSO (Geosynchronous Orbit),Communication,Launch successful
19,INSAT-2B,1993-07-23,Ariane-44L H10+,GSO (Geosynchronous Orbit),Communication,Launch successful
20,IRS-1E,1993-09-20,PSLV-D1,LEO (Low Earth Orbit),Earth Observation,Launch unsuccessful
21,SROSS-C2,1994-05-04,ASLV-D4,No Data,Experimental,Launch successful
22,IRS-P2,1994-10-15,PSLV-D2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
23,INSAT-2C,1995-12-07,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful
24,IRS-1C,1995-12-28,Molniya,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
25,IRS-P3,1996-03-21,PSLV-D3 / IRS-P3,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
26,INSAT-2D,1997-06-04,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Failed in Orbit
27,IRS-1D,1997-09-29,PSLV-C1 / IRS-1D,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
28,INSAT-2E,1999-04-03,Ariane-42P H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful
29,Oceansat(IRS-P4),1999-05-26,PSLV-C2/IRS-P4,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
30,INSAT-3B,2000-03-22,Ariane-5G,GSO (Geosynchronous Orbit),Communication,Launch successful
31,GSAT-1,2001-04-18,GSLV-D1 / GSAT-1,GSO (Geosynchronous Orbit),Communication,Launch successful
32,The Technology Experiment Satellite (TES),2001-10-22,PSLV-C3 / TES,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
33,INSAT-3C,2002-01-24,Ariane5-V147,GSO (Geosynchronous Orbit),Climate & Environment,Launch successful
33,INSAT-3C,2002-01-24,Ariane5-V147,GSO (Geosynchronous Orbit),Communication,Launch successful
34,KALPANA-1,2002-09-12,PSLV-C4 /KALPANA-1,GSO (Geosynchronous Orbit),Climate & Environment,Launch successful
34,KALPANA-1,2002-09-12,PSLV-C4 /KALPANA-1,GSO (Geosynchronous Orbit),Communication,Launch successful
35,INSAT-3A,2003-04-10,Ariane5-V160,GSO (Geosynchronous Orbit),Climate & Environment,Launch successful
35,INSAT-3A,2003-04-10,Ariane5-V160,GSO (Geosynchronous Orbit),Communication,Launch successful
36,GSAT-2,2003-05-08,GSLV-D2 / GSAT-2,GSO (Geosynchronous Orbit),Communication,Launch successful
37,INSAT-3E,2003-09-28,Ariane5-V162,GSO (Geosynchronous Orbit),Communication,Launch successful
38,IRS-P6 / RESOURCESAT-1,2003-10-17,PSLV-C5 /RESOURCESAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
39,EDUSAT,2004-09-20,GSLV-F01 / EDUSAT (GSAT-3),GSO (Geosynchronous Orbit),Communication,Launch successful
40,HAMSAT,2005-05-05,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Communication,Launch successful
41,CARTOSAT-1,2005-05-05,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
42,INSAT-4A,2005-12-22,Ariane5-V169,GSO (Geosynchronous Orbit),Communication,Launch successful
43,INSAT-4C,2006-07-10,GSLV-F02 / INSAT-4C,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful
44,SRE-1,2007-01-10,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
45,CARTOSAT-2,2007-01-10,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
46,INSAT-4B,2007-03-12,Ariane5,GSO (Geosynchronous Orbit),Communication,Decommisioned
47,INSAT-4CR,2007-09-02,GSLV-F04 / INSAT-4CR,GSO (Geosynchronous Orbit),Communication,Launch successful
48,CARTOSAT  2A,2008-04-28,PSLV-C9 / CARTOSAT  2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
49,IMS-1,2008-04-28,PSLV-C9 / CARTOSAT  2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
50,Chandrayaan-1,2008-10-22,PSLV-C11,Lunar,Planetary Observation,Launch successful
51,RISAT-2,2009-04-20,PSLV-C12 / RISAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
52,Oceansat-2,2009-09-23,PSLV-C14 / OCEANSAT-2,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful
52,Oceansat-2,2009-09-23,PSLV-C14 / OCEANSAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
53,GSAT-4,2010-04-15,GSLV-D3 / GSAT-4,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful
54,CARTOSAT-2B,2010-07-12,PSLV-C15/CARTOSAT-2B,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
55,GSAT-5P,2010-12-25,GSLV-F06 / GSAT-5P,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful
56,YOUTHSAT,2011-04-20,PSLV-C16/RESOURCESAT-2,SSPO (Sun Synchronous Polar Orbit),Student Satellite,Launch successful
57,RESOURCESAT-2,2011-04-20,PSLV-C16/RESOURCESAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
58,GSAT-8,2011-05-21,Ariane-5 VA-202,GEO,Communication,Launch successful
58,GSAT-8,2011-05-21,Ariane-5 VA-202,GEO,Navigation,Launch successful
59,GSAT-12,2011-07-15,PSLV-C17/GSAT-12,GSO (Geosynchronous Orbit),Communication,Launch successful
60,Megha-Tropiques,2011-10-12,PSLV-C18/Megha-Tropiques,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful
60,Megha-Tropiques,2011-10-12,PSLV-C18/Megha-Tropiques,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
61,RISAT-1,2012-04-26,PSLV-C19/RISAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
62,GSAT-10,2012-09-29,Ariane-5 VA-209,GEO,Communication,Launch successful
62,GSAT-10,2012-09-29,Ariane-5 VA-209,GEO,Navigation,Launch successful
63,SARAL,2013-02-25,PSLV-C20/SARAL,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful
63,SARAL,2013-02-25,PSLV-C20/SARAL,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
64,IRNSS-1A,2013-07-01,PSLV-C22/IRNSS-1A,GSO (Geosynchronous Orbit),Navigation,Launch successful
65,INSAT-3D,2013-07-26,Ariane-5 VA-214,GSO (Geosynchronous Orbit),Climate & Environment,Launch successful
65,INSAT-3D,2013-07-26,Ariane-5 VA-214,GSO (Geosynchronous Orbit),Disaster Management System,Launch successful
66,GSAT-7,2013-08-30,Ariane-5 VA-215,GSO (Geosynchronous Orbit),Communication,Launch successful
67,Mars Orbiter Mission Spacecraft,2013-11-05,PSLV-C25,Martian,Planetary Observation,Launch successful
68,GSAT-14,2014-01-05,GSLV-D5/GSAT-14,GSO (Geosynchronous Orbit),Communication,Launch successful
69,IRNSS-1B,2014-04-04,PSLV-C24/IRNSS-1B,GSO (Geosynchronous Orbit),Navigation,Launch successful
70,IRNSS-1C,2014-10-16,PSLV-C26/IRNSS-1C,GEO,Navigation,Launch successful
71,GSAT-16,2014-12-07,Ariane-5 VA-221,GSO (Geosynchronous Orbit),Communication,Launch successful
72,Crew module Atmospheric Re-entry Experiment (CARE),2014-12-18,LVM-3/CARE Mission,No Data,Experimental,Launch successful
73,IRNSS-1D,2015-03-28,PSLV-C27/IRNSS-1D,GSO (Geosynchronous Orbit),Navigation,Launch successful
74,GSAT-6,2015-08-27,GSLV-D6,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
75,Astrosat,2015-09-28,PSLV-C30/AstroSat MISSION,No Data,Space Science,Launch successful
76,GSAT-15,2015-11-11,Ariane-5 VA-227,GEO,Communication,Launch successful
76,GSAT-15,2015-11-11,Ariane-5 VA-227,GEO,Navigation,Launch successful
77,IRNSS-1E,2016-01-20,PSLV-C31/IRNSS-1E,GSO (Geosynchronous Orbit),Navigation,Launch successful
78,IRNSS-1F,2016-03-10,PSLV-C32/IRNSS-1F,GEO,Navigation,Launch successful
79,IRNSS-1G,2016-04-28,PSLV-C33/IRNSS-1G,GEO,Navigation,Launch successful
80,CARTOSAT-2 Series Satellite,2016-06-22,PSLV-C34 / CARTOSAT-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
81,INSAT-3DR,2016-09-08,GSLV-F05 / INSAT-3DR,GSO (Geosynchronous Orbit),Climate & Environment,Launch successful
81,INSAT-3DR,2016-09-08,GSLV-F05 / INSAT-3DR,GSO (Geosynchronous Orbit),Disaster Management System,Launch successful
82,SCATSAT-1,2016-09-26,PSLV-C35 / SCATSAT-1,SSPO (Sun Synchronous Polar Orbit),Climate & Environment,Launch successful
83,GSAT-18,2016-10-06,Ariane-5 VA-231,GSO (Geosynchronous Orbit),Communication,Launch successful
84,RESOURCESAT-2A,2016-12-07,PSLV-C36 / RESOURCESAT-2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
85,INS-1B,2017-02-15,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
86,INS-1A,2017-02-15,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
87,Cartosat -2 Series Satellite,2017-02-15,PSLV-C37 / Cartosat -2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
88,GSAT-9,2017-05-05,GSLV-F09 / GSAT-9,GSO (Geosynchronous Orbit),Communication,Launch successful
89,GSAT-19,2017-06-05,GSLV Mk III-D1/GSAT-19 Mission,GSO (Geosynchronous Orbit),Communication,Launch successful
90,Cartosat-2 Series Satellite,2017-06-23,PSLV-C38 / Cartosat-2 Series Satellite,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
91,GSAT-1 7,2017-06-29,Ariane-5 VA-238,GTO (Geosynchronous Transfer Orbit),Communication,Launch successful
